EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10042623,PENOBSCOT CO.,,06/06/1953,1415,Tornado,0,F1,0,1,250,0,ME,CST,,,C,19,,0,0,,,0.2,33,0,,0,,,06/06/1953,1415,45.05,-69.3,,,,,1
10042624,CUMBERLAND CO.,,07/07/1953,1145,Tornado,0,F0,0,1,0,0,ME,CST,,,C,5,,0,0,,,1,7,0,,0,,,07/07/1953,1145,43.82,-70.12,,,,,2
10042625,WALDO CO.,,07/07/1954,1330,Tornado,0,F2,0,1,25000,0,ME,CST,,,C,27,,0,0,,,7.6,10,0,,0,,,07/07/1954,1330,45.28,-67.2,45.18,-67.28,,,3
10042626,AROOSTOOK CO.,,08/11/1954,1727,Tornado,0,F2,1,1,25000,0,ME,CST,,,C,3,,0,0,,,1,27,0,,0,,,08/11/1954,1727,47.02,-68.02,,,,,4
10042627,CUMBERLAND CO.,,06/20/1955,1500,Thunderstorm Wind,0,,0,0,0,0,ME,CST,,,C,5,,0,0,,,0,0,0,,0,,,06/20/1955,1500,43.7,-70.28,,,,,5
10042628,YORK CO.,,06/01/1956,1500,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,31,,0,0,,,1,13,0,,0,,,06/01/1956,1500,43.42,-70.87,,,,,6
10042629,KENNEBEC CO.,,09/14/1956,1510,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,11,,0,0,,,18.7,17,0,,0,,,09/14/1956,1510,44.3,-69.8,44.32,-69.42,,,7
10042630,CUMBERLAND CO.,,06/19/1957,1330,Thunderstorm Wind,66,,0,0,0,0,ME,CST,,,C,5,,0,0,,,0,0,0,,0,,,06/19/1957,1330,43.7,-70.28,,,,,8
10042631,CO.,,07/27/1957,2000,Hail,1.5,,0,0,0,0,ME,CST,,,C,0,,0,0,,,0,0,0,,0,,,07/27/1957,2000,47.2,-67.9,,,,,9
10042632,AROOSTOOK CO.,,09/16/1957,1330,Tornado,0,F2,0,0,2500,0,ME,CST,,,C,3,,0,0,,,2.7,50,0,,0,,,09/16/1957,1330,45.8,-68.3,45.8,-68.22,,,10
10042633,WALDO CO.,,07/02/1958,1500,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,27,,0,0,,,8.9,27,0,,0,,,07/02/1958,1500,44.67,-67.63,44.53,-67.6,,,11
10042635,WASHINGTON CO.,,07/02/1958,1500,Hail,2.75,,0,0,0,0,ME,CST,,,C,29,,0,0,,,0,0,0,,0,,,07/02/1958,1500,44.78,-67.68,,,,,12
10042634,WASHINGTON CO.,,07/02/1958,1500,Hail,2.75,,0,0,0,0,ME,CST,,,C,29,,0,0,,,0,0,0,,0,,,07/02/1958,1500,44.78,-67.68,,,,,13
10042636,FRANKLIN CO.,,07/02/1958,1517,Tornado,0,,0,0,25000,0,ME,CST,,,C,7,,0,0,,,0.1,33,0,,0,,,07/02/1958,1517,44.63,-70.3,,,,,14
10042637,PENOBSCOT CO.,,07/02/1958,1600,Tornado,0,F1,0,0,25000,0,ME,CST,,,C,19,,0,0,,,2.7,17,0,,0,,,07/02/1958,1600,44.88,-68.67,44.93,-68.63,,,15
